Subject,Predicate,Object
MetamorphicFacies,subClassOf,MetamorphicRock
N538578cf713744cfb28f97cd2158decc,type,Restriction
NationalHealthBasicWaterQualityIndex,type,Class
AerosolComposition,hasChineseName,气溶胶成分
AirQualityLevel,type,Class
LandRecord,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统科学数据资源体系研究》
EquatorialLow,source,维基百科
IceAgeMeasurement,comment,冰层年代度量是通过分析冰川中的冰层来确定不同层次的年代。这可以通过多种方法来实现，如放射性同位素测量、气泡含量分析、沉积物分析等。
TopographicalFactor,subClassOf,SoilGenesis
SeabedSuspendedParticleTurbidity,source,GCMDsciencekeywords_v16.0
FlameCloud,altLabel,火烧云
SubseaGeotechnicalEngineeringCharacteristics,comment,岩土工程特性涉及到海底沉积物的物理和力学特性，包括密度、孔隙度、抗剪强度和渗透性等。这些特性对于工程项目（如海底管道敷设或沉积物稳定性分析）至关重要。
PlantCellStructure,hasChineseName,植物细胞结构
DroughtReconstruction,hasChineseName,干旱重构
Floodplain,comment,河漫滩是河流的周围平坦的土地区域，通常位于河流的两侧，定期被洪水覆盖，富含河流沉积物。
CoronaDischarge,subClassOf,AtmosphericElectricity
GroundwaterTemperature,type,Class
SecondaryMineral,type,Class
ConstructionProcess,hasChineseName,构造过程
MeteoriteOrigin,subClassOf,Meteorite
Manufacturing,hasChineseName,制造业
Ne60cd36d884b42049e137aad3309edd6,type,Restriction
VolcanicOrigin,type,Class
FrostFreeZone,comment,无霜区是指一些地理区域或气候条件下，几乎没有霜冻发生的区域。这些地区通常位于低纬度、高海拔或接近海洋的地方，气温较温暖，霜冻很少或几乎不会出现，有利于农业和植物生长。
CoordinateReferenceSystem,comment,指用以测量并记录位置、定向以及其他物体属性的坐标系；或指与观测者的运动状态相关的观测参考系；又或同指两者。
NaturalGasHydrateDifferences,source,GCMDsciencekeywords_v16.0
IceGrowth,subClassOf,IceSnowMovement
GeomagneticStorm,source,GCMDsciencekeywords_v16.0、SWEET、维基百科
MetalMineralResources,source,《地球系统科学数据资源体系研究》、《地理辞典》
NaturalGasHydratePhysicalProperties,hasChineseName,天然气水合物物理性质
RiverTide,type,Class
CaveAccumulation,type,Class
VirusMorphology,hasChineseName,病毒形态
Bromine,type,Class
ElectricalCharacteristics,hasChineseName,电气特性
TropicalCycloneWindRadius,comment,热带气旋风力范围表示热带气旋中风力的分布范围。通常，热带气旋的风力范围会分为不同的风速区域，从风暴中心向外递减。最强风速通常出现在风暴中心区域。
EpidemicDisease,comment,流行病是指在一定时间内众多人口所患的疾病。一般的流行病多为传染病，但也可以是非传染病。流行病可以是限于部分地区的小规模爆发，成为地方性流行病；亦可以在多个大陆甚至全球爆发，从而导致瘟疫（大流行）。流行病大致可分为3种，即寄生虫引起的疫病、细菌和真菌性疫病和病毒性疫病。
RockGeographicalDistribution,type,Class
GroundwaterSupplyAndDrainageProcess,hasChineseName,地下水给排水过程
EndoplasmicReticulum,hasChineseName,内质网
DustComposition,source,GCMDsciencekeywords_v16.0
SurfaceWaterHydrologicalCharacteristics,subClassOf,SurfaceWaterObservation
MarineGeomorphology,comment,海洋地貌是指地球表面下水的部分，也就是海洋的地形和地貌特征。
GlacierType,subClassOf,Glacier
OceanHeatExchange,hasChineseName,海洋热量交换
N931ccc7954d445fcab661e1c399d2cd3,type,Restriction
ContinentalShelf,comment,大陆架是大陆延伸至海洋中的平缓部分，可以说是被海水所覆盖的大陆。在过去的冰川期，由于海平面下降，大陆架常常露出海面成为陆地或陆桥；在间冰期（冰川消退时期，如现代），大陆架则被上涨的海水淹没，成为浅平的海底。
ForestStock,subClassOf,ForestAssessment
ElectromagneticWaveBand,source,GCMDsciencekeywords_v16.0、SWEET
SubtropicalMonsoonHumidClimate,altLabel,夏雨型暖温带气候
MistType,type,Class
AtmosphericAdvection,subClassOf,WindMotion
CollenchymalTissue,source,维基百科
RadioactiveElement,subClassOf,RockElements/MineralElements
SoilElectromagneticCharacteristics,type,Class
Bacillariophyta,type,Class
AtmosphericEnvironmentalImpact,source,《地理辞典》、SWEET
Stalagmite,hasChineseName,石笋
IceDepth,subClassOf,IceSnowPhysicalProperties
LakeLevelRecord,comment,湖平面指湖泊水面的高度或水位，通常受到沉积、蒸发、降水和径流等因素的影响而变化。
PopulationRatio,source,维基百科
HumidityMixingRatio,source,GCMDsciencekeywords_v16.0
TemperateCycloneMotion,hasChineseName,温带气旋运动
SeaIceFreezingTemperature,subClassOf,SeaIcePhysicalProperties
MaterialSupplyAndMarketingAndWarehousingIndustry,comment,物资供销和仓储业涉及商品的储存、物流和供应链管理，确保产品从生产地到消费者手中的流通。
SurfaceWaveRate,hasChineseName,地表波文率
Nfd11fe4c6c4046a584602b274e0b3ae8,type,Restriction
WaveNumberRatio,subClassOf,OceanHeatExchange
FaunaInSubtropicalAndTemperateDesertAreas,source,《地理辞典》
Excellent,type,Class
Amber,subClassOf,QuasiMineral
HeatingDegreeDays,subClassOf,AtmosphericTemperatureIndexType
unit,comment,单位
Ashes,subClassOf,AerosolComposition
EarthquakeType,subClassOf,Earthquake
SheepBackStone,hasChineseName,羊背石
GlacialClimate,subClassOf,N5f43b6134edb44b9b793667dab93b454
CombustibleIce,hasChineseName,可燃冰
Rhizobia,comment,根瘤菌主要指与豆类作物根部共生形成根瘤并能固氮的细菌，一般指根瘤菌属和慢生根瘤菌属；两属都属于根瘤菌目。根瘤菌侵入寄主根内，刺激根部皮层和中柱鞘的某些细胞，引起这些细胞的强烈生长，使根的局部膨大形成根瘤；根瘤菌在根内定居，植物供给根瘤菌以矿物养料和能源，根瘤菌固定大气中游离氮气，为植物提供氮素养料，两者在拮抗寄生关系中处于均衡状态而表现共生现象。根瘤菌细胞呈杆状，有鞭毛和荚膜，鞭毛为正常的活动器官，无芽孢，革兰氏染色阴性，属需氧型。在根瘤中生活的菌体形式多种多样，有梨形、棍棒型或T、X、Y等型，这种变形的菌体成为类菌体；类菌体在豆科植物体内不生长繁殖，却能与豆科植物共同固氮，对豆科植物有良好作用。每种根瘤菌只能与一种或几种植物建立共生关系。此外，还有些微生物能同非豆类植物共同形成根瘤固氮，主要是一些放线菌（如：小头木麻黄、赤杨、杨梅）、蓝绿菌（如：苏铁、竹柏、满江红）。
SeaIceLayerDepth,hasChineseName,海冰冰层深度
IceWaterPath,source,GCMDsciencekeywords_v16.0
GlacierMelting,comment,冰川消融是指冰川在一定时间内失去的冰、雪和其他降水形成的物质。这些物质可以通过融化、蒸发、融雪等方式从冰川表面或内部流失。
SerpentineMound,source,GCMDsciencekeywords_v16.0
Helium,source,GCMDsciencekeywords_v16.0、《地理辞典》、SWEET
Electron,type,Class
FarmingManagement,subClassOf,SoilProtection
Agaricomycotina,comment,伞菌亚门包括了大多数伞菌类真菌，这些真菌通常形成大型蘑菇或菌类。
Economic,type,Class
Chlorophyta,hasChineseName,绿藻门
SteepCliff,comment,陡崖是指垂直或几乎垂直的地表高差，通常是由于岩层或地质结构的断层或抬升而形成的。
KeyUrbanClusters,type,Class
PlantCytoplasm,type,Class
TilleringAfforestation,subClassOf,ArtificialAfforestationMethod
WetlandNutrientComposition,source,维基百科
Collapse,type,Class
HumidityObservation,subClassOf,MeteorologicalClimate
ArtificialRainfall,type,Class
AnnualPrecipitation,comment,年降水量是一年中每月降水量的总和。从天空中降落到地面上的液态或固态（经融化后）水，未经蒸发、渗透、流失而在水平面上积聚的深度称作降水量。把一个地方多年的年降水量平均起来，就称为这个地方的“平均年雨量”。常用年降水量来描述某地气候，是除气候类型之外的一个重要指标，并用等降水量线来划分各个干湿区域。
LakeClassification,source,《地理辞典》、维基百科
Mountain,type,Class
GroundwaterNutrientComposition,type,Class
SeasonalSnowMeltingWater,subClassOf,RiverWaterSupplyMode
N4319721ae3e649c2ae6d807e55698bfe,someValuesFrom,SeaBreeze
Permafrost,hasChineseName,永久冻土
ModerateGeomagneticStorm,comment,中等地磁暴是地球磁场活动水平介于强和弱之间的情况。在中等地磁暴期间，地磁场的变化较为温和，可能会引发轻微的电力故障、导航偏差或通信干扰。
HumanGeography,subClassOf,Anthroposphere
NaturalGasHydrateDistribution,subClassOf,NaturalGasHydrate
NuclearRadiationExposure,comment,核辐射暴露指核能产业事故或核废料的处理不当，可能导致辐射泄漏，对环境和人类健康造成危害。
SeaIceAge,source,GCMDsciencekeywords_v16.0
WindObservation,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地理辞典》、《地球系统研究与科学数据》、SWEET、维基百科
PrimordialSoil,hasChineseName,始成土
GlacierThickness,hasChineseName,冰川厚度
PondEcosystem,comment,池塘生态系统是指小型淡水体系，通常由天然或人工形成的水体组成，具有相对较小的表面积和深度。池塘生态系统通常包括浅水区域、水生植物、浮游生物以及与之互动的陆地生态区域。它们对于一些水生生物的栖息、繁殖和食物供应至关重要，也为鸟类和其他野生动物提供了重要的饮水和觅食场所。
ExtrusiveRock,type,Class
Scyphozoa,type,Class
CoralReefRange,source,GCMDsciencekeywords_v16.0
Pesticide,subClassOf,NonDegradableOrganicMatter
MetallurgicalAuxiliaryRawMaterial,type,Class
Ascomycota,subClassOf,FungalType
Ustilaginomycotina,hasChineseName,黑粉菌亚门
MarineEnvironment,subClassOf,Ocean
Nca83d82e3f9c4ed08c092a8f8c5fe63b,type,Restriction
LightningType,type,Class
MixedModeVirus,hasChineseName,复合型病毒
SoilPore,hasChineseName,土壤孔隙
SurfaceWaterHydrologicalEvent,type,Class
AbsoluteHumidity,hasChineseName,绝对湿度
FlowTransportType,subClassOf,FluvialGeomorphologyType
Nb6999d1436464464a6a85d140c37e830,onProperty,causedBy
Cubozoa,altLabel,箱型水母
TidalHeight,subClassOf,TidalCharacteristics
CurvatureRadius,source,《地球系统科学数据资源体系研究》
RNAVirus,hasChineseName,RNA病毒
Tombolo,type,Class
Ne6cfeee2d24341fb832221efb211ffe3,onProperty,causedBy
GeothermalUtilization,hasChineseName,地热利用
LakeGeomorphology,subClassOf,Hydrogeomorphology
ParasiticBacteria,hasChineseName,寄生菌
NitrousOxide,comment,一氧化二氮化学式为N2O，是一种无色有甜味气体，在一定条件下能支持燃烧，但在室温下稳定，有轻微麻醉作用，其麻醉作用于1799年由英国化学家汉弗莱·戴维发现。该气体早期被用于牙科手术的麻醉，现用在外科手术和牙科。“笑气”的名称是由于吸入它会感到欣快，并能致人发笑。一氧化二氮能溶于水、乙醇、乙醚及浓硫酸，但不与水反应。它可以用来作为火箭和赛车的氧化剂，以及增加发动机的输出功率。在食品行业中，氧化亚氮可作为添加剂，用于打发奶泡与制作咖啡。一氧化二氮是强温室气体。现笑气被用在很多娱乐场所。
SnowPill,comment,雪丸是一种由冻雨滴或雨滴冷冻形成的冰球，通常出现在寒冷的天气中。
SubmarineDeposit,subClassOf,SubmarineSedimentaryResources
OceanMotion,subClassOf,OceanCirculation
N0a629d75338746de9a0c2b4c8cd25b4c,someValuesFrom,SeawaterSpecificVolume
SaltDifferenceEnergyInSeawater,hasChineseName,海水盐差能
ParasiticAnimal,source,维基百科
NaturalLandscape,source,维基百科
NaturalGasHydrateColor,subClassOf,NaturalGasHydrateAppearanceCharacteristics
IceLayerInsideReflectionGeometry,comment,内部反射几何形状描述了冰川内部反射的几何特征，如它们的位置、形状和分布。
BuildingLand,type,Class
SurfaceHumidityIndex,source,《地球系统科学数据资源体系研究》
EruptionType,comment,火山喷发可以分为不同类型，包括裂隙式喷发、中心式喷发和融透式喷发，取决于岩浆的性质和释放方式。
RingDensity,comment,年轮密度是指年轮中木质部分的紧密程度，它通常与树木的生长速度和环境条件有关，密度较高的年轮往往代表慢生长期。
SurfaceWaterRunoff,hasChineseName,地表水径流
FaunaInSubtropicalAndTemperateDesertAreas,hasChineseName,亚热带和温带荒漠地带动物群
NitrogenOxide,comment,氮氧化物（Nitrogen Oxides，NOx）是一组由氮（N）和氧（O）元素组成的化合物，包括一氧化氮（NO），二氧化氮（NO2），和其他氮氧化物的混合物。这些化合物在大气中具有重要的环境和健康影响，通常与空气污染和酸雨有关。
HeavyToBlizzard,source,维基百科
SphericalLightning,comment,球状闪电是一种自然现象，属于闪电的一种。球状闪电虽然通常与雷暴有关，持续时间比闪电还久。许多早期的报告说，球状闪电最终都会爆炸，有时具有致命的后果，并留下硫的气味。直到1960年代，虽然世界各地出现许多报告，大多数科学家认为球闪电不是一个真实的现象，而是都市传说。实验室可以产生视觉上类似于球状闪电的效果，但是其与球状闪电关系仍然不清楚。科学家提出许多假设解释球状闪电。因为球状闪电的不频繁和不可预测性，科学数据很少。球状闪电的存在取决于公众目击报告，由于其不一致性和缺乏可靠的数据，球状闪电是否存在仍然未知。
MixedModeVirus,type,Class
Blackcharcoal,hasChineseName,黑炭
Fold,source,《地理辞典》
Stratopause,comment,平流层顶，是平流层上部的逆温层顶，是平流层与中间层之间的过渡层，约在50—55千米高度处。大气中的臭氧到此消失，故又称“臭氧层顶”。由于臭氧对太阳紫外线的强烈吸收，造成平流层上部气温明显增高，到了平流层顶气温约为270～290K。
Fjord,comment,峡湾是由于冰川侵蚀河谷所形成的地形。冰川由高山向下滑时，不仅从河谷流入，还将山壁磨蚀，成为峡谷，当这些接近海岸的峡谷被海水倒灌时，便形成峡湾。峡湾在寒带地方较为常见。
Slope,subClassOf,TopographicalFactor
PastureEcosystem,comment,牧草地是用于牲畜放牧的生态系统，包括天然草地和人工草地。它们对畜牧业和食品生产至关重要。
SeaWaterDissolvedOrganicMatter,subClassOf,OrganicMatterInSeawater
GravityGeomorphology,comment,重力地貌是由地球上的重力作用引起的地表和地形变化的结果。
IceSnowProperties,comment,冰雪性质是指冰和雪的特性和属性。
WetlandWaterHardness,hasChineseName,湿地水体硬度
SnowParticles,source,《地理辞典》
SurfaceWaterRunoffFormationProcess,type,Class
OceanLightIntensityMeasurement,hasChineseName,海洋光强度度量
Chlorine,subClassOf,SoilNutrient
RadiationFlux,type,Class
AlpineEcosystem,hasChineseName,高山生态系统
Collapse,subClassOf,GeologicHazard
Pathogen,hasChineseName,病原体
Trilobota,type,Class
AtmosphericMainGasComponent,hasChineseName,大气主要气体成分
PhotolysisRate,type,Class
Ammonia,type,Class
SeaIceCompressiveStrength,hasChineseName,海冰抗压强度
SurfaceKarstLandform,type,Class
ElectricFieldIntensity,subClassOf,ElectricField
SedimentSize,type,Class
Isotope,source,GCMDsciencekeywords_v16.0
Particle,comment,粒子为占有微小局域的物体，其可以被赋予若干物理性质或化学性质，如体积、密度或质量。它们在大小或数量上差别很大，从亚原子粒子如电子，到微观粒子如原子和分子，再到宏观粒子如粉末和其他颗粒材料。粒子也可以用来创建更大物体的科学模型，这取决于它们聚集的程度，如在人群中移动的人类或运动的天体。
EstuarineBeach,type,Class
PhotosyntheticEfficiencyIndicator,subClassOf,Photosynthesis
Aerosol,hasChineseName,气溶胶
Protomycetes,subClassOf,ProtozoaClassification
AnticyclonicOceanCirculation,comment,在反气旋型大洋环中，海水以顺时针方向（在北半球）或逆时针方向（在南半球）绕着一个中心点或中心区域旋转。这种环流模式通常与高压区相关联，因此也称为反气旋。反气旋型大洋环流的特点包括在中心区域的海水下沉和冷却，以及沿着周边地区的海水向外流动。这种环流模式在海洋的高压系统中很常见，对气候和生态系统有显著影响。
SurfaceParameter,subClassOf,TopographicalObservation
BiologicalSediment,comment,生物沉积物是由海洋生物制造的沉积物，包括有机质、贝壳、珊瑚骨架等，经过生物作用形成。
N60d1ba41c95d4244a8837a1ffc49fc49,someValuesFrom,Climate
CyclonicCloud,comment,气旋云是一种环绕气旋或飓风中心的特殊云形。这种云环绕着气旋的中心，通常伴随着气旋的形成和发展。气旋云可能呈现出螺旋状或旋涡状的形态，这与气旋风暴的自旋方向有关。它们往往是风暴系统的标志，用于气象学家监测和研究气旋的活动。
NonInfectiousChronicDisease,comment,慢性非传染性疾病，不是特指某种疾病，而是一类起病隐匿、病程长且病情迁延不愈、缺乏明确的传染性生物病因证据、病因复杂或病因尚未明确的疾病的总称。NCDs可以是长期和缓慢进展的慢性病，或者也可能导致更快的死亡，如某些类型的突发性中风。NCDs包括自体免疫性疾病、哮喘等慢性呼吸系统疾病、心脏病、中风、癌症（大部分）、糖尿病、慢性肾病、骨质疏松、阿尔茨海默病、白内障等。这类疾病在人群中不会传染和传播。慢性非传染性疾病(NCDs)正在全球范围内快速增加，已成为全球的一个主要公共卫生问题。根据世卫组织（WHO）2008年资料，全球5700万例死亡病例中，有3600万例由非传染性疾病致死，占全球死亡总人数的60%以上，慢性病(NCDs)已成为全世界的头号杀手每年，至少500万人死于烟草使用，约280万死于超重，大约260万的死亡由高胆固醇导致，750万死于高血压。在2005年死于NCDs的3600万的人中，有一半年龄在70岁以下，且半数为女性。
SurfaceWaterOutput,hasChineseName,地表水出水量
N2bae89f7337b48b2aa2ad2fa11983832,someValuesFrom,TemperateContinentalClimate
AtmosphericStability,hasChineseName,大气稳定度
TemperatureCycloneType,type,Class
PlantEcology,type,Class
NanhuaFormation,source,《地球系统科学数据资源体系研究》
Phloem,comment,韧皮部是维管植物的输导组织，负责将光合作用的产物——葡萄糖，由进行光合作用的器官运输到植物的其他部位；或由储存养分的器官运输到需要能量的器官（双向运输）
SpecialEnvironmentalVegetationType,source,《地球系统科学数据资源体系研究》
UndergroundKarstLandform,hasChineseName,地下喀斯特地貌
BarrierLake,subClassOf,N46b0318ab7e44b3a8e776027a15fc096
TypicalMagmaticRock,hasChineseName,典型岩浆岩
ChargeCarrier,subClassOf,AtmosphericElectricity
AeolianLandformType,subClassOf,AeolianLandform
N52e793e3bc024e22ad369f9f643e4977,onProperty,hasImpactOn
SoilShrinkageExpansionCapacity,type,Class
WaterBalance,comment,水分平衡是指在特定地区或系统中水的输入、输出和储存之间的关系。它考虑了降水、蒸发、径流、地下水补给和水体储存等因素，用于分析水资源的可持续性。
WaveDirection,source,GCMDsciencekeywords_v16.0
HotSpring,comment,温泉是一种由地下自然涌出的泉水，其水温较环境年平均温高摄氏5度，或华氏10度以上。在学术上，涌出地表的泉水温度高于当地的地下水温者，即可称为温泉。温泉的形成是泉水从地壳升上来的地下水经由地热加热而产生。地壳上有很多地方偏布地热温泉。某些温泉的水温是适合人们泡澡，如果太热的温泉若浸泡可能会造成烫伤或死亡。
ArtificialForestResources,subClassOf,ForestLandResources
N58ca8725a3b94629bef7d6b6a5ada7d4,onProperty,partOf
SolidPrecipitation,type,Class
ShieldVolcano,type,Class
Nimbostratus,comment,"雨层云属于中云族。其学名合成自拉丁语的nimbus（“雨云”）和stratus（“层状的，层云”）。雨层云覆盖全天，云体厚而呈暗灰色，常伴随持续性的降雨，也叫“雨云”。与高层云的不同之处，在于雨层云的云体更厚，无法透过雨层云看到日月的位置，云底形状不定。相比积雨云，雨层云不会带来雷暴等灾害。雨层云高度一般为1,000m左右，另有小部分的云位于2,000~5,000m高处，易形成午后雷阵雨。"
LakeSalinity,subClassOf,LakeElement
NoisePollution,source,维基百科
CoastalSedimentation,source,GCMDsciencekeywords_v16.0
Nc774af74d1414baa83048aa489e795df,onProperty,hasPossibleCause
SeawaterSurfaceConductivity,type,Class
LoessMound,hasChineseName,黄土堞
BaseShearStress,source,GCMDsciencekeywords_v16.0
WaterVaporSublimation,type,Class
AerosolType,subClassOf,Aerosol
TemperateClimate,subClassOf,Nf2f29447eb314812ab656c83b178a528
SeaWaterDensity,subClassOf,N3743373c8a764d7586483359a8e7eaf1
MineralClassification,comment,矿物可以依其物理性质及化学性质区分，可以依其化学成分及晶体结构分为几类，而在矿物形成时的温度压力等因素会影响其中一些性质。岩石所在的温度、压力及其主成分的变化，都会影响其中的矿物。也有可能矿物的主成分不变，但其中的矿物因温度压力改变而变化。
SeawaterDiffusion,comment,海水扩散是导致海水混合的主要原因之一。海水扩散有两种表现形式：分子扩散和涡动扩散。分子扩散是由海水分子的不规则运动引起。涡动扩散是由不同尺度的水块不规则运动产生的。由于海水中的温度、盐度、密度之间的经常变化，所以存在密度梯度和温度梯度，扩散量的多少与物质的梯度成比例。涡动扩散比分子扩散强；在涡动扩散中，侧向的涡动扩散比垂向的涡动扩散强。
EcologicalThreshold,type,Class
NaturalGasHydrateSpecificGravity,source,GCMDsciencekeywords_v16.0
MineralCleavage,hasChineseName,矿物解理
Chromium,comment,铬是一种银白色金属元素，但其化合物在大多数情况下呈黑色或暗色。铬的主要用途是生产不锈钢和其他合金，以增加其耐腐蚀性。此外，铬还用于镀铬，用于改善金属表面的外观和耐腐蚀性。
BinaryCyclePowerPlant,subClassOf,GeothermalPowerGeneration
StandardizedIceThicknessDepthDating,source,GCMDsciencekeywords_v16.0
MagmaticRock,type,Class
TectonicLake,subClassOf,N03650c2214b444838cdd35f6b233782c
PlantProtection,hasChineseName,植物保护
TropicalStormWindRadius,type,Class
N79b198b5beb54504b2bb135c82dfcc89,type,Restriction
EarthquakeCentre,subClassOf,EarthquakeOccurrence
Transportation,source,GCMDsciencekeywords_v16.0
InvasiveSpecies,type,Class
PlanetaryWave,type,Class
PopulationRatio,comment,人口比例是指不同人口子群体或属性在总人口中的比例，例如男女性别比例、不同年龄组的比例等。人口比例可以用来分析和研究不同人群在人口中的分布情况。
Good,source,《地理辞典》
CoastlineDisplacement,hasChineseName,海岸线位移
Cubozoa,hasChineseName,立方水母纲
LakeLevel,subClassOf,LakeElement
GroundwaterResources,source,《地理辞典》
ParentMaterialFactor,subClassOf,SoilGenesis
IntermediateLayer,hasChineseName,中间层
FungalOrganelle,type,Class
FlowTransportType,type,Class
SubmarineVolcanicCraterEcosystem,subClassOf,MarineEcosystemType
WetlandElement,hasChineseName,湿地要素
CoastalEcology,source,GCMDsciencekeywords_v16.0、《地理辞典》、维基百科
EnvironmentalPollutionSource,hasChineseName,环境污染源
Nf7ff7504cffb464ca9862179ec6bbc9a,someValuesFrom,FlowAccumulation
SeaIceChemicalProperties,hasChineseName,海冰化学性质
SettlementDevelopment,comment,聚落发展是指聚居地的演化和增长过程，它受到多种因素的影响，包括人口增长、经济活动、政治因素、社会文化等。
WindAccumulationLandform,comment,风力堆积是指风力作用下将沙粒或颗粒物质沉积在地表的过程，形成沙丘、沙垅等地形特征。
MagnesiumIon,comment,镁离子是镁原子失去两个电子形成的离子，同样带有正电荷。它在生物体内的DNA复制、ATP生成和酶活性中扮演着重要角色。
Ncf4ad332b14a44169f5a1e1759f806c1,type,Restriction
RiverWaterSupplyMode,hasChineseName,河水补给方式
WetlandWaterBodyPHValue,source,维基百科
GroundRadiation,hasChineseName,地面辐射
HydrologicalDrought,comment,水文干旱是指地下水位下降、河流和湖泊水位降低，以及水库和蓄水池储水量减少等水资源方面的问题。这种干旱可能影响城市供水、农业灌溉和工业用水。
HorizontalStructure,type,Class
KPIndex,comment,KP指数是一种用于描述全球地磁活动水平的指标，它根据若干地磁台站的观测数据计算得出，通常分为0到9级，级数越高表示地磁活动越强烈。 KP指数是用于警告和监测地磁风暴的一种常见工具。
OrganismInterspecificRelationship,hasChineseName,生物种间关系
N2238cf900a9946069be95839247675d0,type,Restriction
EarthquakeCentreDepth,source,维基百科
Pucciniomycotina,source,维基百科
TropicalCycloneStructure,comment,热带气旋结构是指热带气旋的内部组织和特征。
LandCoverType,comment,土地覆盖类型是对土地覆盖的更具体的分类，通常包括各种自然和人为类型，例如湖泊、河流、沙漠、沼泽、山脉、城市、草原、森林、农田、湿地、沿海地区等。这些类型有助于更详细地描述土地表面的特征。
AntigenicDrift,source,维基百科
FogObservation,subClassOf,Fog
NaturalGasHydrateSubstances,hasChineseName,天然气水合物质地
SubtropicalHigh-PressureZone,type,Class
AggregationPlateEdge,type,Class
RockGranularity,hasChineseName,岩石粒度
Chlorophyta,type,Class
SolarRadiationFactor,comment,太阳辐射因子是指太阳能辐射的变化和影响，包括太阳黑子周期和太阳辐射量的波动，它们对地球气候和气象现象产生直接影响，是气候系统中的重要因素。
SeedlingPlantingAfforestation,comment,植苗造林指将树木的幼苗或苗木直接种植到目标地点。这种方式通常用于需要更快速生长的树种，例如杨树、桉树等。
AtmosphericIon,source,SWEET、维基百科
MarineEcosystemType,source,《地球系统科学数据资源体系研究》
ColdAirType,hasChineseName,冷空气类型
RichIcePermafrost,hasChineseName,富冰冻土
SeawaterScattering,type,Class
VisibilityAffectingFactors,hasChineseName,能见度影响因素
AnimalHusbandry,subClassOf,PrimaryIndustry
AeolianProcess,hasChineseName,风成过程
TropicalCycloneStructure,type,Class
TropicalStormFrequency,comment,热带风暴频率指一定时间段内，特定地区或全球范围内发生热带风暴的次数。热带风暴频率是气象学家和气象机构用来了解不同地区或季节内热带风暴的活跃度和趋势的重要数据。频率可以影响气象季节的规划和应对措施。
N9603063fd79241a59aeabf81914487ae,onProperty,influencedBy
unit,subPropertyOf,extensionProperties
N1a227ef15652489086ca8bdadcf72757,someValuesFrom,SeaIceDensity
SouthernOscillation,type,Class
MaritimeTransport,type,Class
HighAltitudeTemperatureObservation,comment,高空温度观测是通过气象气球、气象卫星、飞机或气象雷达等工具来获取大气中不同高度处的温度数据。这些观测数据对于天气预测和气象研究非常重要。
SnowWaterEquivalant,subClassOf,SnowPhase
PerCapitaWaterResources,comment,人均水资源占有量指在一个地区（流域）内，某一个时期按人口平均每个人占有的水资源量。
BeachEcosystem,type,Class
ExoticVegetation,hasChineseName,外来植被
TropicalDeciduousBroad-LeavedForest,hasChineseName,热带落叶阔叶林
MeteorologicalDrought,source,维基百科
SoilPersistence,subClassOf,Na4425562b2ab4ded935c37da84976383
WindHandling,subClassOf,AeolianProcess
MaterialSupplyAndMarketingAndWarehousingIndustry,hasChineseName,物资供销和仓储业
HalideMineral,comment,阳离子）在各种地质环境中大量存在于地球表面。
ChargeCarrier,comment,电荷载流子指的是在半导体中移动(自由)导电的电子或移动的空穴。
FrozenSoil,type,Class
CoastalGeomorphologyType,subClassOf,CoastalGeomorphology
CoastalProtectionForest,subClassOf,CoastalEcology
MarineEnvironment,subClassOf,Nfa4adad78b5144a9a29c9b5a2fe6137a
ColdTemperateVegetationType,hasChineseName,冷温带植被类型
Sleet,hasChineseName,雨夹雪
AnthropogenicSoilLandscape,hasChineseName,人为土壤景观
AbyssalPlain,subClassOf,OceanBasinLandform
DipolarApproximation,hasChineseName,偶极子近似
SurfaceWaterBasinSlope,source,GCMDsciencekeywords_v16.0
WindMotion,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地理辞典》、《地球系统研究与科学数据》、SWEET、维基百科
N0fb0c0ca07eb420a84b5a0900a1c4be7,type,Restriction
TyphoonRain,subClassOf,PrecipitationGenesisType
SageDepth,subClassOf,OceanLightIntensityMeasurement
OpticalDepth,type,Class
LandDisturbance,subClassOf,LandUse/LandCover
GeomagneticField,type,Class
SevereDroughtIndex,type,Class
ShieldVolcano,source,维基百科
SolarEnergy,comment,太阳能是指来自太阳辐射出的光和热被不断发展的一系列技术所利用的一种能量，如，太阳热能集热器，太阳能光伏发电，太阳热能发电，和人工光合作用。自地球形成生物就主要以太阳提供的热和光生存，而自古人类也懂得以阳光晒干物件，并作为保存食物的方法，如制盐和晒咸鱼等。但在化石燃料减少下，才有意把太阳能进一步发展。人类利用太阳能有三个途径，分别是：光热转换、光电转换和光化学转换。太阳能利用技术分为有源（主动式）及无源（被动式）两种。有源的例子有太阳能光伏及光热转换，使用电力机械设备作太阳能收集，而这些设备是依靠外部能源运作的，因此称为有源。无源的例子有在建筑物引入太阳光作照明等，当中是利用建筑物的设计、选择所使用物料等达至利用太阳能的目的，由于当中的运作无需由外部提供能源，因此称为无源。
Nfe90bf5212d146568168b08bddd10623,type,Restriction
LacustrinePlain,source,《地理辞典》
EchinodermFarming,type,Class
EstuarineLandformType,source,GCMDsciencekeywords_v16.0、《地理辞典》、维基百科
Phloem,subClassOf,VascularOrganization
